"Region, subregion, country or area *",1952,1957,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007
Republic of Korea,19817.775,22984.010,26812.084,30236.691,33506.522,36475.425,39175.221,41686.566,43848.223,46196.056,47999.551,49034.813
Brunei Darussalam,53.885,70.394,89.484,112.446,142.015,174.717,206.064,237.565,273.888,311.962,346.777,374.967
Cambodia,4656.427,5308.126,6028.434,6685.961,7302.114,7196.042,6919.803,8198.082,9623.899,11298.594,12637.719,13679.953
Indonesia,72274.629,81179.211,92518.373,105865.576,121017.316,137278.057,154468.235,171702.756,187739.786,202826.444,217357.790,232374.239
Lao People's Democratic Republic,1764.044,1979.730,2221.123,2496.927,2840.842,3135.839,3401.193,3905.530,4500.346,5050.308,5493.247,5944.950
Malaysia,6449.609,7458.015,8692.337,10046.321,11324.277,12790.313,14471.215,16522.004,19002.660,21562.790,24208.391,26720.367
Myanmar,18440.675,20380.220,22697.664,25410.054,28570.093,32026.748,35734.273,39404.350,42401.686,45027.223,47702.163,49621.479
Philippines,19945.269,23751.870,28077.345,32823.970,37923.400,43629.415,50023.564,57263.835,65020.124,73030.879,81365.260,89405.482
Singapore,1119.932,1440.490,1741.457,1958.735,2150.498,2314.988,2517.983,2816.974,3199.642,3752.131,4104.407,4578.629
Thailand,21838.302,25096.799,29080.945,33778.804,39058.594,44405.903,49255.889,53945.872,57811.025,60846.588,64069.093,66182.064
Timor-Leste,423.120,452.083,491.575,538.906,600.185,619.817,613.233,686.475,783.204,861.870,922.699,1036.388
Viet Nam,25976.851,29844.053,34683.410,40072.951,45548.476,50861.166,56814.309,63701.974,70883.488,77133.212,81534.406,85419.588
Anguilla,5.477,5.901,6.141,6.520,6.949,7.252,7.194,7.842,9.333,10.388,11.756,12.862
Antigua and Barbuda,47.385,51.360,55.849,61.240,64.134,62.162,61.780,61.713,64.459,71.707,78.298,84.029
Aruba,38.962,48.239,56.234,58.044,59.849,60.366,61.341,61.838,68.240,85.450,94.992,101.226
Bahamas,81.434,95.617,121.092,152.621,177.863,197.100,220.182,243.265,266.028,287.363,307.657,337.387
Barbados,219.669,229.270,232.623,236.661,241.523,248.931,254.078,258.012,262.890,268.183,273.423,278.701
"Bonaire, Sint Eustatius and Saba",7.425,7.782,8.429,9.638,10.716,11.094,11.473,12.332,13.936,15.082,13.882,16.645
British Virgin Islands,7.547,7.780,8.319,9.213,10.210,10.923,12.250,15.390,18.443,19.660,21.128,25.050
Cayman Islands,6.247,7.177,8.141,8.518,10.135,13.848,17.436,21.539,27.784,36.155,45.347,52.280
Cuba,6178.812,6764.547,7453.535,8266.373,9025.347,9646.142,9940.314,10286.645,10736.386,10989.730,11199.664,11251.117
Curaçao,108.286,121.464,129.685,137.619,147.148,149.711,148.808,149.328,146.018,139.534,129.082,136.579
Dominica,52.293,56.628,61.978,67.687,71.731,73.443,75.012,71.842,70.546,70.592,69.840,70.797
Dominican Republic,2517.654,2976.418,3521.018,4123.100,4755.464,5407.496,6067.769,6729.930,7408.339,8084.407,8724.974,9338.856
Grenada,77.184,84.726,92.481,95.012,93.984,90.219,93.132,99.425,97.161,101.567,103.636,105.183
Guadeloupe,217.579,252.030,286.538,309.772,325.635,331.915,336.612,359.911,397.692,412.739,416.132,402.405
Haiti,3330.331,3648.819,4019.171,4425.318,4837.334,5294.625,5910.223,6618.742,7319.491,8030.721,8754.148,9495.336
Jamaica,1468.233,1575.685,1676.500,1803.324,1935.089,2080.824,2234.062,2375.400,2461.047,2583.914,2692.843,2768.229
Martinique,228.268,259.879,294.957,318.501,327.301,326.200,329.451,347.754,362.756,375.640,392.500,398.048
Montserrat,14.476,13.320,11.653,11.647,11.530,11.654,11.299,10.666,10.659,7.927,4.431,4.916
Puerto Rico,2183.075,2221.479,2378.378,2561.034,2705.840,2945.847,3168.344,3318.838,3469.071,3621.900,3664.321,3616.341
Saint Barthélemy,2.115,2.281,2.342,2.357,2.406,2.811,3.109,4.072,5.849,6.764,7.902,8.870
Saint Kitts and Nevis,46.488,49.949,50.961,47.388,44.318,43.944,42.733,41.041,40.691,42.857,45.168,47.769
Saint Lucia,84.658,87.519,91.892,99.370,106.303,112.685,120.987,130.868,141.758,150.920,159.392,167.644
Saint Martin (French part),3.192,3.592,4.078,4.922,6.156,7.713,8.372,19.274,31.816,26.910,30.913,36.138
Saint Vincent and the Grenadines,69.289,76.670,83.239,87.779,92.511,97.708,102.255,105.905,107.941,107.895,108.095,108.516
Sint Maarten (Dutch part),1.797,2.321,3.367,5.362,7.892,10.791,15.032,23.157,30.458,31.731,32.990,33.406
Trinidad and Tobago,675.583,786.024,879.436,925.233,968.136,1039.210,1120.019,1194.532,1236.685,1259.838,1277.210,1308.450
Turks and Caicos Islands,4.982,5.504,5.884,5.766,6.156,7.193,8.654,10.717,13.639,17.566,23.230,30.383
United States Virgin Islands,28.119,30.060,39.070,55.917,73.280,92.688,102.474,104.889,104.795,108.313,108.556,107.118
Belize,73.430,84.508,97.392,112.707,127.152,136.990,151.486,174.333,194.324,221.575,262.387,299.031
Costa Rica,1002.444,1192.362,1433.346,1696.742,1944.170,2205.618,2523.358,2884.856,3286.525,3718.952,4100.922,4404.626
El Salvador,2280.443,2553.506,2931.187,3387.384,3867.310,4338.451,4737.256,5067.531,5416.327,5746.288,5962.139,6105.810
Guatemala,3311.525,3850.435,4464.251,5160.616,5941.567,6765.516,7654.818,8639.105,9708.552,10887.637,12208.854,13700.326
Honduras,1631.731,1873.493,2155.648,2486.418,2882.102,3352.825,3910.642,4542.218,5244.677,6045.704,6929.267,7808.520
Mexico,29590.077,34401.536,40195.318,46956.208,54689.944,62869.908,71058.650,79200.081,87075.136,94611.008,101684.764,109170.503
Nicaragua,1372.102,1609.647,1887.426,2197.303,2558.705,2985.480,3455.129,3909.672,4364.514,4827.658,5219.324,5590.066
Panama,904.406,1038.181,1202.447,1393.824,1607.797,1837.804,2073.748,2318.259,2575.949,2853.907,3149.195,3453.671
Argentina,17742.980,19472.473,21153.042,22828.872,24653.172,26661.397,28794.550,31184.411,33529.320,35657.438,37681.743,39684.303
Bolivia (Plurinational State of),3170.680,3453.779,3802.996,4208.683,4682.392,5228.253,5814.344,6442.824,7160.917,7937.453,8742.822,9558.438
Brazil,57283.658,66221.469,76514.329,88035.815,99859.388,112425.392,126498.322,140891.606,154259.382,167209.046,179537.523,190130.445
Chile,6869.714,7639.207,8476.895,9312.091,10103.675,10922.777,11743.909,12642.917,13719.818,14786.227,15684.413,16530.201
